aaag,ysag,cobi,aaa,ysa,Rate,UUI,LUI,Sex
11-19,11-20,<100,16,11,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,17,11,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,18,11,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,19,11,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,11,12,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,12,12,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,13,12,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,14,12,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,15,12,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,16,12,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,17,12,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,18,12,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,19,12,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,11,13,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,12,13,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,13,13,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,14,13,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,15,13,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,16,13,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,17,13,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,18,13,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,19,13,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,11,14,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,12,14,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,13,14,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,14,14,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,15,14,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,16,14,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,17,14,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,18,14,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,19,14,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,11,15,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,12,15,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,13,15,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,14,15,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,15,15,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,16,15,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,17,15,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,18,15,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,19,15,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,11,16,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,12,16,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,13,16,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,14,16,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,15,16,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,16,16,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,17,16,0.001286465,0.003240468,0.000422842,Both
11-19,11-20,<100,18,16,0.001286465,0.003240468,0.000422842,Both
