prevalence_scenario,screeningStrategy,screen_count_requested,outcome,old_value,locked_run_value,source_file,absolute_difference,relative_difference,comparison_abs_tolerance,difference_class,pass_fail
base_default_LTBI,ltbi,150,PPV_trueAmongTestPositive,0.951219512195122,0.951219512195122,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,150,falsePositiveShareAmongTestPositive,0.048780487804878,0.048780487804878,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,150,falsePositiveTestsPerTruePositiveTest,0.0512820512820512,0.0512820512820512,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,150,falsePositiveTreatedPerTruePositiveTreated,0.0606060606060606,0.0606060606060606,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,150,falsePositiveTreatedShareAmongCoursesStarted,0.0571428571428571,0.0571428571428571,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,150,nActiveBy20y_AfterStrategy_median,29.0,29.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,150,nActiveBy20y_DoNothing_median,37.0,37.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,150,nCuredInfection_median,21.0,21.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,150,nFalsePositiveTestsBCG_median,1.0,1.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,150,nFalsePositiveTestsNoBCG_median,0.0,0.0,apy_cho_epi_curve_data.csv,0.0,,1e-12,exact,pass
base_default_LTBI,ltbi,150,nFalsePositiveTests_median,2.0,2.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,150,nFalsePositiveTreated_median,2.0,2.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,150,nIGRApos_median,41.0,41.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,150,nPreventedActiveTB_median,8.0,8.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,150,nScreenedBCG_median,102.0,102.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,150,nScreened_high95,150.0,150.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,150,nScreened_low95,150.0,150.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,150,nScreened_median,150.0,150.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,150,nTestPositiveNonActive_median,41.0,41.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,150,nTestPositive_median,48.0,48.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,150,nTotalCoursesCompleted_median,28.0,28.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,150,nTotalCoursesStarted_median,35.0,35.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,150,nTruePositiveTests_median,39.0,39.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,150,nTruePositiveTreated_median,33.0,33.0,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,150,relativeReduction20y_median,0.2,0.2,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,150,screenCoverage,0.1,0.1,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,200,NNS_prevent_one_active_TB,22.22222222222222,22.22222222222222,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,200,NNT_completed_prevent_one_active_TB,3.6666666666666665,3.6666666666666665,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,200,NNT_started_prevent_one_active_TB,4.666666666666667,4.666666666666667,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,200,PPV_trueAmongTestPositive,0.94,0.94,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
base_default_LTBI,ltbi,200,falsePositiveShareAmongTestPositive,0.06,0.06,apy_cho_epi_curve_data.csv,0.0,0.0,1e-12,exact,pass
